0,3,3,32,3grade
0,3,3,215,3grade
0,3,3,2,4grade
0,3,3,4,2grade
0,3,3,6,1grade
0,3,3,10,2grade
0,3,3,20,2grade
0,3,3,22,2grade
0,3,3,28,2grade
0,3,3,35,2grade
0,3,3,34,2grade
0,3,3,40,2grade
0,3,3,240,3grade
0,3,3,11776,2grade
0,3,5,40,1grade
0,3,5,227,1grade
0,3,1,4,4grade
0,3,1,10,4grade
0,3,1,2,3grade
0,3,1,4,3grade
0,3,1,236,4grade
0,3,1,1,3grade
0,3,1,5,3grade
0,3,1,8,3grade
0,3,1,9,4grade
0,3,1,10,3grade
0,3,1,10,3grade
0,3,1,10,4grade
0,3,1,11,2grade
0,3,1,11,3grade
0,3,1,15,3grade
0,3,1,15,3grade
0,3,1,31,3grade
0,3,1,18,5grade
0,3,1,20,3grade
0,3,1,19,3grade
0,3,1,33,3grade
0,3,1,30,3grade
0,3,1,34,3grade
0,3,1,35,5grade
0,3,1,45,3grade
0,3,1,55,3grade
0,3,1,60,2grade
0,3,1,124,4grade
0,3,1,9,3grade
0,3,1,254,2grade
0,3,1,12,5grade
0,1,3,20,3grade
0,1,3,14,3grade
0,1,3,130,3grade
0,1,3,41,4grade
0,1,3,1370,5grade
0,1,5,61,2grade
0,1,1,110,4grade
0,1,1,0,5grade
0,1,1,8,5grade
0,1,1,7,5grade
0,1,1,27,5grade
0,1,1,40,5grade
0,1,1,42,5grade
0,1,1,52,5grade
0,1,1,110,5grade
0,1,1,122,5grade
0,1,1,130,5grade
0,1,1,108,5grade
0,1,1,65,4grade
0,1,1,1,3grade
0,1,1,9,3grade
0,1,1,4,5grade
0,1,1,5,3grade
0,1,1,4,3grade
0,1,1,7,3grade
0,1,1,10,5grade
0,1,1,10,3grade
0,1,1,11,3grade
0,1,1,15,3grade
0,1,1,15,3grade
0,1,1,15,4grade
0,1,1,13,3grade
0,1,1,25,3grade
0,1,1,37,3grade
0,1,1,37,3grade
0,1,1,37,5grade
0,1,1,50,5grade
0,1,1,55,3grade
0,1,1,65,1grade
0,1,1,7,3grade
0,1,1,75,3grade
0,1,1,70,3grade
0,1,1,55,3grade
0,1,1,127,3grade
0,1,1,172,3grade
0,1,1,5,4grade
0,1,1,405,5grade
0,1,1,15,5grade
0,1,1,100,4grade
0,1,1,15,4grade
0,1,1,1423,5grade
0,1,1,1,5grade
0,1,1,1,5grade
0,1,1,2,5grade
0,1,1,2,5grade
0,1,1,4,5grade
0,1,1,5,5grade
0,1,1,5,5grade
0,1,1,6,5grade
0,1,1,5,5grade
0,1,1,0,5grade
0,1,1,5,5grade
0,1,1,13,5grade
0,1,1,19,5grade
0,1,1,20,5grade
0,1,1,22,5grade
0,1,1,40,5grade
0,1,1,119,5grade
0,1,1,121,5grade
0,1,1,108,5grade
0,1,1,149,5grade
0,1,1,368,5grade
0,1,1,427,5grade
0,1,1,6660,5grade
0,5,3,165,1grade
0,5,3,235,1grade
0,5,3,20,1grade
0,5,3,3,1grade
0,5,3,8,1grade
0,5,3,13,1grade
0,5,3,20,1grade
0,5,3,20,1grade
0,5,3,21,1grade
0,5,3,31,1grade
0,5,3,34,1grade
0,5,3,100,2grade
0,5,3,180,1grade
0,5,3,282,1grade
0,5,3,60,3grade
0,5,5,6,1grade
0,5,5,10,3grade
0,5,5,2,2grade
0,5,5,12,1grade
0,5,5,12,1grade
0,5,5,10,1grade
0,5,5,27,2grade
0,5,5,22,1grade
0,5,5,32,1grade
0,5,5,48,1grade
0,5,5,53,2grade
0,5,5,95,1grade
0,5,5,230,3grade
0,5,5,135,1grade
0,5,5,528,1grade
0,5,5,8960,1grade
0,5,1,60,2grade
0,5,1,61,3grade
0,5,1,13,3grade
0,5,1,8,2grade
0,5,1,8,1grade
0,5,1,17,2grade
0,5,1,28,2grade
0,5,1,30,4grade
0,5,1,76,2grade
0,5,1,79,2grade
0,5,1,95,2grade
0,5,1,170,2grade
0,5,1,180,3grade
0,3,3,137,2grade
0,3,3,36,4grade
0,3,5,55,1grade
0,3,1,19,4grade
0,3,1,20,4grade
0,3,1,25,4grade
0,3,1,30,4grade
0,3,1,19,4grade
0,3,1,75,3grade
0,3,1,6,3grade
0,3,1,40,3grade
0,3,1,140,4grade
0,3,1,38,4grade
0,3,1,107,4grade
0,3,1,20,4grade
0,3,1,25,5grade
0,3,1,4,5grade
0,3,1,141,5grade
0,1,3,28,4grade
0,1,3,26,3grade
0,1,3,38,4grade
0,1,1,98,5grade
0,1,1,3,5grade
0,1,1,7,5grade
0,1,1,7,5grade
0,1,1,11,5grade
0,1,1,4,5grade
0,1,1,5,5grade
0,1,1,12,5grade
0,1,1,12,5grade
0,1,1,4,5grade
0,1,1,13,5grade
0,1,1,15,5grade
0,1,1,16,5grade
0,1,1,15,5grade
0,1,1,20,5grade
0,1,1,24,5grade
0,1,1,22,5grade
0,1,1,25,5grade
0,1,1,29,5grade
0,1,1,27,5grade
0,1,1,26,5grade
0,1,1,25,5grade
